WSC Option,Assignment Scope (MG),ID,Assignment Name,Definition Name,Type,Custom/Builtin,Description,Effect,GitHub Assignment File,AzAdvertizer Link,Release,Status
PostgreSQL,Variable *,Enforce-Guardrails-PostgreSQL,Enforce recommended guardrails for PostgreSQL,Enforce recommended guardrails for PostgreSQL,Initiative,Custom,This policy initiative is a group of policies that ensures PostgreSQL is compliant per regulated Landing Zones.,Audit,ENFORCE-GuardrailsPostgreSQLPolicyAssignment.json,Enforce recommended guardrails for PostgreSQL,20/03/2025,NEW
SQL,Variable *,Enforce-Guardrails-SQL,Enforce recommended guardrails for SQL,Enforce recommended guardrails for SQL and SQL Managed Instance,Initiative,Custom,This policy initiative is a group of policies that ensures SQL and SQL Managed Instance is compliant per regulated Landing Zones.,Audit,ENFORCE-GuardrailsSQLPolicyAssignment.json,Enforce recommended guardrails for SQL and SQL Managed Instance,20/03/2025,NEW
Event Grid,Variable *,Enforce-Guardrails-EventGrid,Enforce recommended guardrails for Event Grid,Enforce recommended guardrails for Event Grid,Initiative,Custom,This policy initiative is a group of policies that ensures Event Grid is compliant per regulated Landing Zones.,Audit,ENFORCE-GuardrailsEventGridPolicyAssignment.json,Enforce recommended guardrails for Event Grid,20/03/2025,NEW
Event Hub,Variable *,Enforce-Guardrails-EventHub,Enforce recommended guardrails for Event Hub,Enforce recommended guardrails for Event Hub,Initiative,Custom,This policy initiative is a group of policies that ensures Event Hub is compliant per regulated Landing Zones.,Audit,ENFORCE-GuardrailsEventHubPolicyAssignment.json,Enforce recommended guardrails for Event Hub,20/03/2025,NEW
Service Bus,Variable *,Enforce-Guardrails-ServiceBus,Enforce recommended guardrails for Service Bus,Enforce recommended guardrails for Service Bus,Initiative,Custom,This policy initiative is a group of policies that ensures Service Bus is compliant per regulated Landing Zones.,Audit,ENFORCE-GuardrailsServiceBusPolicyAssignment.json,Enforce recommended guardrails for Service Bus,20/03/2025,NEW
Automation Accounts,Variable *,Enforce-Guardrails-Automation,Enforce recommended guardrails for Automation Accounts,Enforce recommended guardrails for Automation Account,Initiative,Custom,This policy initiative is a group of policies that ensures Automation Account is compliant per regulated Landing Zones.,Audit,ENFORCE-GuardrailsAutomationPolicyAssignment.json,Enforce recommended guardrails for Automation Account,20/03/2025,NEW
Key Vault - Supplementary,Variable *,Enforce-Guardrails-KeyVault-Sup,Enforce recommended guardrails for Key Vault Supplementary,Enforce additional recommended guardrails for Key Vault,Initiative,Custom,This policy initiative is a group of policies that ensures Key Vault is compliant per regulated Landing Zones.,Audit,ENFORCE-GuardrailsKeyVaultSupPolicyAssignment.json,Enforce additional recommended guardrails for Key Vault,20/03/2025,NEW
Storage,Variable *,Enforce-Guardrails-Storage,Enforce recommended guardrails for Storage,Enforce recommended guardrails for Storage Account,Initiative,Custom,This policy initiative is a group of policies that ensures Storage is compliant per regulated Landing Zones.,Audit,ENFORCE-GuardrailsStoragePolicyAssignment.json,Enforce recommended guardrails for Storage Account,20/03/2025,NEW
API Management,Variable *,Enforce-Guardrails-APIM,Enforce recommended guardrails for API Management,Enforce recommended guardrails for API Management,Initiative,Custom,This policy initiative is a group of policies that ensures API Management is compliant per regulated Landing Zones.,Audit,ENFORCE-GuardrailsAPIMPolicyAssignment.json,Enforce recommended guardrails for API Management,20/03/2025,NEW
App Services,Variable *,Enforce-Guardrails-AppServices,Enforce recommended guardrails for App Services,Enforce recommended guardrails for App Service,Initiative,Custom,This policy initiative is a group of policies that ensures App Service is compliant per regulated Landing Zones.,Audit,ENFORCE-GuardrailsAppServicesPolicyAssignment.json,Enforce recommended guardrails for App Service,20/03/2025,NEW
